candidat,rang,methode,mention_majoritaire,id,nom_institut,commanditaire,debut_enquete,fin_enquete,echantillon,population
Jean Lassalle,7,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Anne Hidalgo,9,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nicolas Dupont-Aignan,8,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Philippe Poutou,11,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nathalie Arthaud,12,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Eric Zemmour,10,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Emmanuel Macron,1,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Marine Le Pen,2,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Valérie Pécresse,4,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean-Luc Mélenchon,3,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Fabien Roussel,6,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Yannick Jadot,7,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean Lassalle,8,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Anne Hidalgo,11,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nicolas Dupont-Aignan,9,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
